index,x_m,y_m,guaranteed_receive,score_J_s,sampled_posterior_radius_m
59,937.7075270520073,-43.3675615876889,True,512.4899333424607,257.50225158055514
60,937.7075270520073,130.10268476306624,True,444.4041112115232,113.82586241179878
61,971.342140918015,-216.83780793844392,True,445.497472428331,76.87909528954104
62,971.342140918015,-43.3675615876889,True,534.1732904914634,273.19364371299065
63,971.342140918015,216.8378079384437,True,445.4974724283312,76.87909528954147
64,752.7171507889648,-2.0128947599673458e-13,True,476.2448160027229,373.8591242563913
65,720.1336186062697,-344.23002010227964,True,380.8214840628897,84.83054668667272
66,720.1336186062697,-303.5729311138214,True,377.9126655585432,92.0597795753918
67,720.1336186062697,-262.9158421253632,True,376.9330432094008,101.37976899051208
68,735.8998438559609,-344.23002010227964,True,380.15628704839867,82.9550190665386
69,735.8998438559609,-262.9158421253632,True,375.7952225410176,99.21606469092966
70,751.666069105652,-344.23002010227964,True,380.3715781921552,81.26622893950852
71,751.666069105652,-303.5729311138214,True,377.33546318648837,88.079958593406
72,751.666069105652,-262.9158421253632,True,376.05720404388336,97.01409031066378
73,720.1336186062697,262.91584212536304,True,376.93304320937716,101.37976899051206
74,720.1336186062697,303.57293111382126,True,377.91266555854304,92.05977957539159
75,720.1336186062697,344.23002010227947,True,380.82148406288957,84.8305466866725
76,735.8998438559609,262.91584212536304,True,375.7952225409796,99.21606469092922
77,735.8998438559609,344.23002010227947,True,380.15628704839867,82.9550190665386
78,751.666069105652,262.91584212536304,True,376.0572040438833,97.01409031066378
79,751.666069105652,303.57293111382126,True,377.33546318648837,88.079958593406
80,751.666069105652,344.23002010227947,True,380.3715781921554,81.26622893950895
81,686.499004740262,-344.23002010227964,True,383.381912292743,88.66359077194399
82,686.499004740262,-303.5729311138214,True,380.14179940017755,96.44549769391404
83,686.499004740262,-262.9158421253632,True,379.54653579314135,106.32006541795806
84,702.2652299899531,-344.23002010227964,True,382.6307252801524,86.88407948696243
