seed,group,field,radius,method,available,guaranteed_receive,second_received,posterior_contains_truth,posterior_radius_m,posterior_diameter_m,posterior_area_m2,clear_ready,second_action_s,predicted_radius_m,predicted_J_s,selection_s,evaluated_candidates,completed,total_virtual_s,measures,clear_attempts,error
413029,short_range,positive,1250.0,shape,True,True,True,True,13.611136446436998,27.22227289287397,15.88557686135212,True,161.956119,107.98458120425,376.9036424680798,0.27821081800016145,31,True,325.335272,2,1,
413030,center,negative,1250.0,on_bearing,True,True,True,True,5.792229851256716,11.58445970251342,4.28094825294556,True,155.0,375.1546612705446,476.60826175477416,0.010080024999979287,1,True,167.157694,2,1,
413030,center,negative,1250.0,fixed_flank,True,True,True,True,15.427611512666305,30.855223025332602,410.0093365793207,True,179.928557,69.20112014064749,393.59306524843373,0.009089284999845404,1,True,279.975052,2,1,
413030,center,negative,1250.0,current,True,True,True,True,13.949078018244098,27.888468151015147,241.23333398089312,True,163.23359,98.21508700414829,374.9848549052292,1.1873113480000939,129,True,225.350656,2,1,
413030,center,negative,1250.0,shape,True,True,True,True,13.877785931659542,27.755571863319084,206.0226141062257,True,162.019541,107.80718400071204,376.95417389953843,0.2913802430000487,31,True,216.95974,2,1,
413031,edge,negative,1250.0,on_bearing,True,True,True,True,122.94906715951258,245.89813431902485,1010.381674612423,False,155.0,372.50057183913617,474.7503991528539,0.011244598000075712,1,True,214.869792,3,1,
413031,edge,negative,1250.0,fixed_flank,True,True,True,True,23.377219131603642,46.754438263207284,622.5135895832105,False,179.928557,28.861275480600064,373.40006246148243,0.01028662799990343,1,True,299.334612,3,1,
413031,edge,negative,1250.0,current,True,True,True,True,57.79241948017362,115.58483896034714,1563.7920104838608,False,104.722783,76.6441963953994,256.0154573942177,1.0880306649999056,129,True,223.232671,3,1,
413031,edge,negative,1250.0,shape,True,True,True,True,70.33138740501659,140.66277481003286,1521.9252350020893,False,109.690819,70.70559715888996,253.7458510736634,0.2682312990000355,31,True,224.08072,3,1,
413032,rotated,negative,1250.0,on_bearing,True,True,True,True,12.65129081568633,25.3025816313726,14.650791895482058,True,155.0,375.15414687714167,476.60790167943844,0.011216311999987738,1,True,168.529556,2,1,
413032,rotated,negative,1250.0,fixed_flank,True,True,True,True,15.464236872786266,30.928473745572422,401.9617381999687,True,179.928557,69.19635275468666,393.79318558488256,0.014904572999967058,1,True,280.188823,2,1,
413032,rotated,negative,1250.0,current,True,True,True,True,13.864227484065356,27.728454968130713,228.21229071317563,True,161.646557,100.8873446203358,375.49680459655633,1.3894432530000813,129,True,222.599368,2,1,
413032,rotated,negative,1250.0,shape,True,True,True,True,13.93160582377482,27.863211647549555,204.56424369735885,True,161.484143,108.01608150244942,375.9718834807916,0.3214377350000177,31,True,216.902862,2,1,
413033,wrap,negative,1250.0,on_bearing,True,True,True,True,240.30764727284318,480.61529454568625,1811.5574648289903,False,155.0,375.1732206837814,476.6212533440942,0.011948650000022099,1,True,245.450751,3,1,
413033,wrap,negative,1250.0,fixed_flank,True,True,True,True,24.271420837440058,48.54284167488004,650.1605711818638,False,179.928557,69.18803348419056,393.584138439528,0.010598374999972293,1,True,300.654809,3,1,
413033,wrap,negative,1250.0,current,True,True,True,True,27.880182028148326,55.76036405629665,535.0540583453464,False,163.350531,97.72763312500891,374.9926513124667,1.2612974770001983,129,True,253.730858,3,1,
413033,wrap,negative,1250.0,shape,True,True,True,True,27.852584481528947,55.70516896305781,477.53555121047066,False,161.718814,108.46521117092043,376.67616162684794,0.29844511299984333,31,True,244.262897,3,1,
