index,seed,N,baseline_last_clear_s,c_last_clear_s,delta_c_minus_baseline_s
1642,1713001642,12,3122.453846,3177.532198,55.078351999999995
1643,1713001643,15,8662.46252,8708.849923,46.38740300000063
1644,1713001644,16,6072.111512,5949.385288,-122.726224
1645,1713001645,11,8333.19244,8333.19244,0.0
1646,1713001646,12,7579.703653,6484.212992,-1095.4906609999998
1647,1713001647,15,12098.364622,12079.475983,-18.888638999998875
1648,1713001648,13,9215.244767,7878.222959,-1337.0218080000004
1649,1713001649,13,7725.327846,7725.327846,0.0
1650,1713001650,12,10149.010395,9729.792697,-419.21769799999856
1651,1713001651,13,9529.207266,9529.207266,0.0
1652,1713001652,16,5609.979087,7267.85954,1657.8804530000007
1653,1713001653,13,11271.943837,11271.943837,0.0
1654,1713001654,11,6383.387527,6383.387527,0.0
1655,1713001655,12,9044.445528,9044.445528,0.0
1656,1713001656,15,10502.434572,10633.908327,131.47375499999907
1657,1713001657,15,8316.556231,8316.556231,0.0
1658,1713001658,16,4036.232193,4306.976034,270.74384100000043
1659,1713001659,15,10749.901351,11010.19547,260.29411900000014
1660,1713001660,10,8879.419237,8879.419237,0.0
1661,1713001661,15,6632.738019,6632.738019,0.0
1662,1713001662,12,1617.186638,1621.509844,4.323206000000027
1663,1713001663,16,5433.724458,5433.724458,0.0
1664,1713001664,11,7844.956007,7844.956007,0.0
1665,1713001665,11,10930.931762,11473.740731,542.8089689999997
1666,1713001666,15,8083.727343,8222.085556,138.35821300000043
1667,1713001667,14,10114.138419,10114.138419,0.0
1668,1713001668,11,10358.160362,10692.712402,334.55203999999867
1669,1713001669,10,8069.028506,7993.919274,-75.10923199999979
1670,1713001670,11,2987.291242,2987.291242,0.0
1671,1713001671,15,14195.720673,14177.00245,-18.718222999999853
1672,1713001672,11,8947.902577,8864.94348,-82.95909700000084
1673,1713001673,13,10319.852029,10319.852029,0.0
1674,1713001674,16,2022.32069,2790.893751,768.573061
1675,1713001675,10,9096.0858,9065.819108,-30.266692000001058
1676,1713001676,10,9573.084571,9273.438291,-299.646279999999
1677,1713001677,15,14622.847127,14622.847127,0.0
1678,1713001678,11,4330.141331,4709.378542,379.23721100000057
1679,1713001679,16,10242.325264,10242.325264,0.0
1680,1713001680,16,15427.59877,11149.694192,-4277.904578
1681,1713001681,11,9503.505525,9503.505525,0.0
1682,1713001682,13,8693.09943,9247.548504,554.4490740000001
1683,1713001683,10,12384.990653,12378.500129,-6.4905240000007325
1684,1713001684,11,9506.727837,9737.870032,231.14219500000036
1685,1713001685,16,7734.031787,7734.031787,0.0
1686,1713001686,15,9305.435383,9594.8347,289.3993169999994
1687,1713001687,10,8803.860856,8795.170263,-8.690592999999353
1688,1713001688,12,9453.950262,9927.222046,473.2717840000005
1689,1713001689,16,6711.712976,6711.712976,0.0
1690,1713001690,11,2355.436783,2406.822831,51.386047999999846
1691,1713001691,15,13752.300183,13752.300183,0.0
1692,1713001692,11,13041.305075,12953.251239,-88.05383600000096
1693,1713001693,14,7921.369242,7921.369242,0.0
1694,1713001694,10,10148.112367,10101.788019,-46.3243480000001
1695,1713001695,15,11999.637591,12001.674755,2.037163999999393
1696,1713001696,15,9950.06077,9439.235435,-510.82533499999954
1697,1713001697,10,8102.087563,8102.087563,0.0
1698,1713001698,13,11167.25688,11937.216114,769.9592339999999
1699,1713001699,16,9721.011659,9721.011659,0.0
1700,1713001700,12,7170.825501,10243.673215,3072.8477140000005
1701,1713001701,11,12017.804188,12017.804188,0.0
1702,1713001702,12,2094.205059,2094.205059,0.0
1703,1713001703,12,8180.989706,8152.353502,-28.63620400000036
1704,1713001704,13,11507.479803,10786.755227,-720.7245760000005
1705,1713001705,12,6720.72219,6785.025167,64.30297699999937
1706,1713001706,12,7281.507084,1737.384953,-5544.122131
1707,1713001707,14,11365.601615,11303.278328,-62.323286999999254
1708,1713001708,13,9338.351168,9273.774032,-64.57713599999988
1709,1713001709,11,6571.818094,9740.51004,3168.691945999999
1710,1713001710,16,3011.301645,3011.301645,0.0
1711,1713001711,16,8538.871449,8535.477807,-3.3936420000009093
1712,1713001712,16,9511.545508,10051.763552,540.2180440000011
1713,1713001713,10,11150.411862,11150.411862,0.0
1714,1713001714,10,2010.691743,2014.99596,4.3042169999998805
1715,1713001715,10,9622.684019,9590.220547,-32.463471999999456
1716,1713001716,11,12924.899278,12841.62725,-83.27202800000123
1717,1713001717,10,9116.342645,9116.342645,0.0
1718,1713001718,12,4601.559825,9018.13418,4416.574354999999
1719,1713001719,13,16051.762012,17092.07045,1040.308438
1720,1713001720,13,8031.318174,9635.718829,1604.4006549999995
1721,1713001721,10,9456.345097,8884.936832,-571.408265
1722,1713001722,10,1898.424402,1907.656698,9.232295999999906
1723,1713001723,13,9090.833841,9090.833841,0.0
1724,1713001724,16,9860.543359,9644.361287,-216.1820719999996
1725,1713001725,12,9545.027689,9545.027689,0.0
1726,1713001726,14,1721.021378,1636.315678,-84.70569999999998
1727,1713001727,16,8936.841226,8943.613119,6.7718929999991815
1728,1713001728,14,13547.925154,13228.19564,-319.72951400000056
1729,1713001729,13,8853.692347,8853.692347,0.0
1730,1713001730,15,10658.226464,10599.495577,-58.73088699999971
1731,1713001731,15,14406.376441,14406.376441,0.0
1732,1713001732,10,8957.088235,8980.035567,22.947332000001552
1733,1713001733,14,5532.973526,5532.973526,0.0
1734,1713001734,12,1730.176471,1645.676002,-84.50046900000007
1735,1713001735,16,7586.581099,7586.581099,0.0
1736,1713001736,12,9657.349352,9942.12101,284.7716580000015
1737,1713001737,14,9907.517106,9907.517106,0.0
1738,1713001738,11,5307.935815,5311.180913,3.2450980000003256
1739,1713001739,12,11499.338951,11499.338951,0.0
1740,1713001740,14,9751.325355,9981.546568,230.2212129999989
1741,1713001741,10,5329.16622,5329.16622,0.0
1742,1713001742,12,1953.647819,1953.647819,0.0
1743,1713001743,11,11160.539585,11055.251372,-105.28821299999981
1744,1713001744,16,6512.276281,4599.735454,-1912.5408270000007
1745,1713001745,12,8686.289405,8686.289405,0.0
1746,1713001746,14,10331.206881,10408.968058,77.76117700000032
1747,1713001747,16,8696.633373,8696.633373,0.0
1748,1713001748,15,9159.533564,8355.130173,-804.4033909999998
1749,1713001749,12,9559.098294,9288.573068,-270.52522599999975
1750,1713001750,16,3758.018817,3804.647046,46.62822899999992
1751,1713001751,13,9613.166263,9613.166263,0.0
1752,1713001752,14,9762.730572,6647.415054,-3115.3155180000003
1753,1713001753,10,8523.447245,8523.447245,0.0
1754,1713001754,11,4604.722656,4647.540778,42.818121999999676
1755,1713001755,11,11485.440275,11353.182658,-132.25761700000112
1756,1713001756,10,8367.245056,8367.245056,0.0
1757,1713001757,14,7902.683605,7902.683605,0.0
1758,1713001758,14,9883.865652,10140.03618,256.17052799999874
1759,1713001759,13,9770.752597,9770.752597,0.0
1760,1713001760,12,8612.248925,10758.531622,2146.2826970000006
1761,1713001761,13,11701.755575,11701.755575,0.0
1762,1713001762,15,2610.357982,2744.214202,133.85622000000012
1763,1713001763,15,11874.207391,11947.954487,73.74709600000097
1764,1713001764,15,12102.850227,12375.793397,272.94316999999864
1765,1713001765,13,8820.137565,8820.137565,0.0
1766,1713001766,12,9301.779537,9493.278997,191.4994599999991
1767,1713001767,10,10514.795096,10514.795096,0.0
1768,1713001768,14,5408.965009,5388.768349,-20.19665999999961
1769,1713001769,15,10250.468581,10250.468581,0.0
1770,1713001770,10,8005.354215,8001.116264,-4.237951000000066
1771,1713001771,13,8150.79249,8150.79249,0.0
1772,1713001772,15,8867.253505,8867.253505,0.0
1773,1713001773,14,9408.558835,9408.558835,0.0
1774,1713001774,12,1944.725972,1796.303694,-148.422278
