seed,N,baseline_s,candidate_s,delta_s,baseline_per_source_s,candidate_per_source_s
1830002445,15,10603.772287,11305.940023,702.1677359999994,706.9181524666667,753.7293348666666
1830002446,15,8792.449276,8164.935862,-627.5134139999991,586.1632850666666,544.3290574666667
1830002447,12,10264.108967,9584.912221,-679.1967459999996,855.3424139166667,798.7426850833334
1830002448,14,13408.356785,13262.678674,-145.67811099999926,957.7397703571429,947.334191
1830002449,13,9348.248259,9348.248259,0.0,719.0960199230769,719.0960199230769
1830002450,11,10050.167351,10050.167351,0.0,913.6515773636364,913.6515773636364
1830002451,14,13591.70117,12870.745153,-720.9560170000004,970.8357978571429,919.3389395
1830002452,16,6601.462392,5636.963441,-964.4989510000005,412.5913995,352.3102150625
1830002453,11,10806.75282,10805.349507,-1.4033129999988887,982.4320745454545,982.3045006363637
1830002454,11,9223.31713,10434.216304,1210.8991740000001,838.4833754545454,948.5651185454545
1830002455,16,10498.552809,9817.379468,-681.1733410000015,656.1595505625,613.58621675
1830002456,12,10068.985254,10474.534645,405.54939100000047,839.0821044999999,872.8778870833333
1830002457,11,10033.295972,10073.284119,39.988147000000026,912.1178156363636,915.7531017272727
1830002458,14,8437.024067,8438.662303,1.6382359999988694,602.6445762142857,602.7615930714285
1830002459,13,10741.165816,10627.237859,-113.92795699999988,826.2435243076924,817.4798353076924
1830002460,11,12053.618641,11403.250475,-650.3681659999984,1095.7835128181816,1036.6591340909092
1830002461,14,10565.108207,10552.305979,-12.80222799999865,754.6505862142857,753.7361413571429
1830002462,12,8728.281107,8674.959218,-53.32188900000074,727.3567589166668,722.9132681666666
1830002463,16,14137.871136,12527.711641,-1610.1594949999999,883.616946,782.9819775625
1830002464,16,5109.237773,5334.222627,224.98485400000027,319.3273608125,333.3889141875
1830002465,14,10321.484363,10410.970294,89.48593100000107,737.2488830714285,743.6407352857143
1830002466,14,11196.165658,11196.165658,0.0,799.7261184285715,799.7261184285715
1830002467,15,9610.892516,9914.167328,303.27481199999966,640.7261677333333,660.9444885333334
1830002468,13,11147.711578,10177.942184,-969.7693940000008,857.5162752307692,782.9186295384615
1830002469,15,10015.959127,10316.334364,300.3752370000002,667.7306084666667,687.7556242666667
1830002470,15,8386.677456,8319.781947,-66.89550899999995,559.1118303999999,554.6521298
1830002471,12,9870.675361,9870.675361,0.0,822.5562800833333,822.5562800833333
1830002472,10,14899.607249,14698.48715,-201.12009899999975,1489.9607249,1469.848715
1830002473,13,8812.581916,9300.562568,487.9806520000002,677.8909166153845,715.4278898461538
1830002474,14,7993.249085,8138.927196,145.67811099999926,570.9463632142857,581.3519425714286
1830002475,15,10000.485139,9382.482606,-618.0025330000008,666.6990092666667,625.4988404
1830002476,13,9383.218707,9174.224108,-208.99459899999965,721.7860543846153,705.7095467692308
1830002477,10,9429.78382,9850.003332,420.21951199999967,942.978382,985.0003332
1830002478,16,2203.530882,2347.728361,144.19747899999993,137.720680125,146.7330225625
1830002479,11,9667.845923,10074.118636,406.2727129999985,878.895083909091,915.8289669090908
1830002480,14,9335.305371,9195.960758,-139.34461300000112,666.8075265,656.8543398571428
1830002481,13,13031.57623,14517.396333,1485.820103,1002.4289407692308,1116.7227948461539
1830002482,14,7937.436034,8083.25773,145.82169599999997,566.9597167142857,577.3755521428571
1830002483,10,9347.050001,9574.261609,227.21160799999961,934.7050001,957.4261608999999
1830002484,12,13652.858527,14216.698887,563.8403600000001,1137.7382105833333,1184.7249072500001
1830002485,14,9800.154425,10101.38089,301.22646499999973,700.0110303571429,721.5272064285715
1830002486,14,8280.517707,8099.593309,-180.92439800000102,591.4655505000001,578.5423792142857
1830002487,10,12247.069382,11945.112349,-301.9570329999988,1224.7069382,1194.5112349
1830002488,16,5303.721127,4865.406482,-438.3146449999995,331.4825704375,304.087905125
1830002489,16,7203.455277,7720.92246,517.4671829999997,450.2159548125,482.55765375
1830002490,10,11077.702609,11127.598362,49.895753000000695,1107.7702609,1112.7598362
1830002491,16,5945.44476,5992.578993,47.13423299999977,371.5902975,374.5361870625
1830002492,13,9102.336065,9231.151414,128.81534900000042,700.1796973076923,710.0885703076923
1830002493,11,11874.160858,11728.482747,-145.67811099999926,1079.4691689090907,1066.2257042727272
1830002494,15,8023.697032,7970.906866,-52.79016599999977,534.9131354666666,531.3937910666667
1830002495,10,9681.783536,10008.994991,327.21145499999875,968.1783536,1000.8994991
1830002496,13,9540.316428,9659.779217,119.46278899999925,733.8704944615384,743.0599397692307
1830002497,15,10022.928014,10123.543961,100.61594700000023,668.1952009333332,674.9029307333333
1830002498,11,9266.53372,9235.286739,-31.246981000000233,842.4121563636363,839.5715217272726
1830002499,11,10166.664313,11011.28677,844.6224570000013,924.2422102727272,1001.02607
